sequence,frame_idx,frame_name,resolution,container_bytes,bpp,enc_time_s,dec_time_s,total_time_s,y_psnr_db,rgb_psnr_db,y_ssim
Beauty,0,,1920x1080,698397,2.6944,148.6,220.9,369.5,41.93,38.82,0.9527
Beauty,1,frame0020,1920x1080,672097,2.593,147.21,223.65,370.85,41.98,38.87,0.9518
Beauty,2,frame0041,1920x1080,660425,2.5479,149.45,231.62,381.07,42.03,38.9,0.9516
Beauty,3,frame0061,1920x1080,658033,2.5387,154.0,231.27,385.27,42.06,38.93,0.9521
Beauty,4,frame0082,1920x1080,653841,2.5225,152.06,231.56,383.62,42.07,38.94,0.9519
Beauty,5,frame0103,1920x1080,655497,2.5289,155.51,231.29,386.8,42.09,38.95,0.9522
Beauty,6,frame0123,1920x1080,650057,2.5079,154.43,232.11,386.54,42.09,38.96,0.9522
Beauty,7,frame0144,1920x1080,640833,2.4723,154.86,231.83,386.69,42.09,38.96,0.951
Beauty,8,frame0165,1920x1080,646513,2.4943,152.82,231.22,384.04,42.08,38.94,0.9514
Beauty,9,frame0185,1920x1080,633541,2.4442,153.62,230.89,384.51,42.13,38.99,0.9511
Beauty,10,frame0206,1920x1080,636721,2.4565,154.12,231.9,386.02,42.13,38.99,0.9515
Beauty,11,frame0227,1920x1080,654925,2.5267,154.64,231.99,386.63,42.11,38.98,0.9526
Beauty,12,frame0247,1920x1080,658165,2.5392,154.83,231.52,386.36,42.07,38.93,0.9522
Beauty,13,frame0268,1920x1080,651841,2.5148,153.55,231.35,384.9,42.09,38.97,0.9522
Beauty,14,frame0289,1920x1080,651321,2.5128,155.82,231.5,387.32,42.11,38.99,0.9527
Beauty,15,frame0309,1920x1080,652409,2.517,154.32,231.03,385.34,42.09,38.95,0.9521
Beauty,16,frame0330,1920x1080,656289,2.532,154.51,233.03,387.54,42.11,38.98,0.9527
Beauty,17,frame0351,1920x1080,654405,2.5247,156.27,231.02,387.29,42.13,39.0,0.9532
Beauty,18,frame0371,1920x1080,648253,2.501,151.26,231.61,382.87,42.15,39.02,0.9534
Beauty,19,frame0392,1920x1080,665321,2.5668,154.26,231.1,385.36,42.14,39.0,0.9538
Beauty,20,frame0413,1920x1080,648817,2.5032,154.35,229.94,384.29,42.14,39.01,0.9527
Beauty,21,frame0433,1920x1080,658605,2.5409,154.02,230.69,384.72,42.13,39.0,0.9532
Beauty,22,frame0454,1920x1080,659005,2.5425,151.73,230.56,382.29,42.09,38.96,0.9523
Beauty,23,frame0475,1920x1080,659533,2.5445,155.64,230.97,386.61,42.09,38.96,0.9524
Beauty,24,frame0495,1920x1080,667633,2.5757,154.56,231.39,385.95,42.08,38.95,0.9525
Beauty,25,frame0516,1920x1080,660925,2.5499,154.7,230.82,385.52,42.07,38.94,0.9519
Beauty,26,frame0537,1920x1080,662429,2.5557,151.32,229.26,380.57,42.05,38.92,0.9518
Beauty,27,frame0557,1920x1080,657433,2.5364,152.13,230.82,382.96,42.07,38.94,0.9519
Beauty,28,frame0578,1920x1080,662373,2.5555,153.48,231.14,384.62,42.06,38.92,0.9519
Beauty,29,frame0599,1920x1080,644225,2.4854,153.56,231.03,384.59,42.12,38.98,0.9517
