sequence,frame_idx,frame_name,resolution,container_bytes,bpp,enc_time_s,dec_time_s,total_time_s,y_psnr_db,rgb_psnr_db,y_ssim
HoneyBee,0,frame0000,1920x1080,633661,2.4447,165.88,289.56,455.44,43.45,40.35,0.9712
HoneyBee,1,frame0020,1920x1080,633993,2.446,152.41,233.86,386.27,43.46,40.35,0.9713
HoneyBee,2,frame0041,1920x1080,633901,2.4456,151.94,233.49,385.42,43.45,40.35,0.9712
HoneyBee,3,frame0061,1920x1080,634297,2.4471,149.92,233.2,383.12,43.45,40.35,0.9713
HoneyBee,4,frame0082,1920x1080,633469,2.4439,150.59,225.72,376.31,43.45,40.35,0.9712
HoneyBee,5,frame0103,1920x1080,632685,2.4409,151.37,226.66,378.03,43.45,40.35,0.9712
HoneyBee,6,frame0123,1920x1080,631357,2.4358,155.65,303.92,459.57,43.46,40.36,0.9712
HoneyBee,7,frame0144,1920x1080,631449,2.4361,201.9,313.37,515.27,43.45,40.35,0.9712
HoneyBee,8,frame0165,1920x1080,632109,2.4387,203.24,309.99,513.24,43.46,40.36,0.9712
HoneyBee,9,frame0185,1920x1080,631625,2.4368,199.19,304.38,503.58,43.46,40.37,0.9712
HoneyBee,10,frame0206,1920x1080,631585,2.4367,203.27,296.9,500.17,43.46,40.36,0.9712
HoneyBee,11,frame0227,1920x1080,631733,2.4372,191.88,296.87,488.74,43.46,40.36,0.9712
HoneyBee,12,frame0247,1920x1080,631753,2.4373,201.11,325.22,526.33,43.46,40.36,0.9712
HoneyBee,13,frame0268,1920x1080,631281,2.4355,203.13,307.98,511.11,43.46,40.36,0.9712
HoneyBee,14,frame0289,1920x1080,631821,2.4376,195.15,323.29,518.44,43.45,40.36,0.9712
HoneyBee,15,frame0309,1920x1080,631549,2.4365,210.74,313.58,524.32,43.46,40.36,0.9712
HoneyBee,16,frame0330,1920x1080,632857,2.4416,189.72,309.38,499.09,43.46,40.36,0.9712
HoneyBee,17,frame0351,1920x1080,631709,2.4371,200.9,317.66,518.56,43.46,40.36,0.9712
HoneyBee,18,frame0371,1920x1080,632105,2.4387,208.95,317.6,526.56,43.46,40.36,0.9712
HoneyBee,19,frame0392,1920x1080,631965,2.4381,207.08,321.21,528.29,43.46,40.36,0.9712
HoneyBee,20,frame0413,1920x1080,631989,2.4382,206.85,319.96,526.81,43.45,40.36,0.9712
HoneyBee,21,frame0433,1920x1080,633077,2.4424,214.38,278.79,493.16,43.45,40.36,0.9712
HoneyBee,22,frame0454,1920x1080,632881,2.4417,215.03,314.82,529.85,43.45,40.36,0.9712
HoneyBee,23,frame0475,1920x1080,632765,2.4412,202.7,295.71,498.41,43.46,40.36,0.9713
HoneyBee,24,frame0495,1920x1080,632725,2.4411,188.87,289.87,478.75,43.46,40.35,0.9712
HoneyBee,25,frame0516,1920x1080,630773,2.4335,187.24,292.33,479.57,43.46,40.37,0.9711
HoneyBee,26,frame0537,1920x1080,632257,2.4393,195.33,311.68,507.01,43.46,40.36,0.9711
HoneyBee,27,frame0557,1920x1080,630249,2.4315,210.87,326.61,537.48,43.47,40.37,0.9711
HoneyBee,28,frame0578,1920x1080,628833,2.4261,221.73,322.46,544.18,43.47,40.38,0.971
HoneyBee,29,frame0599,1920x1080,625133,2.4118,213.55,317.58,531.13,43.48,40.38,0.9709
